Month,Revenue,COGS,Gross_Profit,OpEx,Net_Income
2024-01,412500,82500,330000,298450,-31950
2024-02,387250,77450,309800,294320,15480
2024-03,561000,112200,448800,301540,147260
2024-04,496500,99300,397200,312680,84520
2024-05,666000,133200,532800,342890,189910
2024-06,718000,143600,574400,329650,244750
2024-07,627500,125500,502000,318420,183580
2024-08,594000,118800,475200,322100,153100
2024-09,812000,162400,649600,335280,314320
2024-10,498000,99600,398400,1245000,-846600
2024-11,743000,148600,594400,341200,253200
2024-12,889000,177800,711200,358900,352300
